Код ТН ВЭД,Наименование позиции,Доп. ед. изм.,Ставка ввозной таможенной пошлины *
304820000,"– – форели (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache и Oncorhynchus chrysogaster)",,
304821000,"– – – вида Oncorhynchus mykiss, массой более 400 г каждое",-,"0,04"
304825000,– – – видов Oncorhynchus apache и Oncorhynchus chrysogaster,-,"0,05"
304829000,– – – прочее,-,"0,04"
304830000,"– – камбалообразных (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae)",,
304831000,– – – камбалы морской (Pleuronectes platessa),-,"0,07"
304833000,– – – камбалы речной (Platichthys flesus),-,"0,07"
304835000,– – – мегрима (Lepidorhombus spp.),-,"0,05"
304839000,– – – прочее,-,"0,07"
304840000,– – меч-рыбы (Xiphias gladius),-,"0,07"
304850000,– – клыкача (Dissostichus spp.),-,"0,07"
304860000,"– – сельди (Clupea harengus, Clupea pallasii)",-,"0,03"
304870000,"– – [с 01.01.22] тунца (рода Thunnus), тунца полосатого (скипджека, полосатого бонито) (Katsuwonus pelamis)/[по 31.12.21] тунца (рода Thunnus), скипджека, или тунца полосатого (Euthynnus (Katsuwonus) pelamis)",-,"0,05"
304880000,"– – акул, скатов и ромбовых скатов (Rajidae)",,
304880000,– – – акул,,
304881000,– – – – акулы колючей (Squalus acanthias spp.) и акулы кошачьей (Scyliorhinus spp.),-,"0,07"
304882000,– – – – акулы сельдевой (Lamna nasus),-,"0,07"
304885000,– – – – акул прочих,-,"0,07"
304889000,– – – скатов и ромбовых скатов (Rajidae),-,"0,07"
304890000,– – прочее,,
304891000,– – – пресноводной рыбы,,
304891010,– – – – осетровых,-,"0,05"
304891080,– – – – прочее,-,"0,05"
304892000,– – – прочее,,
304892000,– – – – окуня морского (Sebastes spp.),,
304892100,– – – – – вида Sebastes marinus,-,"0,05"
304892900,– – – – – прочее,-,"0,07"
304893000,"– – – – [с 01.01.22] рыбы рода Euthynnus, кроме тунца полосатого (скипджека, полосатого бонито) (Katsuwonus pelamis) субпозиции 0304 87/[по 31.12.21] рыбы рода Euthynnus, кроме скипджека, или тунца полосатого (Euthynnus (Katsuwonus) pelamis) субпозиции 0304 87",-,"0,05"
304894000,"– – – – скумбрии (Scomber scombrus, Scomber australasicus, Scomber japonicus) и рыбы вида Orcynopsis unicolor",,
304894100,– – – – – скумбрии вида Scomber australasicus,-,"0,06"
304894900,– – – – – прочее,-,"0,05"
304896000,– – – – удильщика (Lophius spp.),-,"0,07"
304898000,– – – – прочее,-,"0,07"
30490,"– прочее, мороженое",,
304910000,– – меч-рыбы (Xiphias gladius),-,"0,03"
304920000,– – клыкача (Dissostichus spp.),-,"0,03"
304930000,"– – [с 01.01.17] тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)/[по 31.12.16] тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)",,
304932000,– – – сурими,-,"0,05"
304938000,– – – прочее,-,"0,03"
304940000,– – минтая (Theragra chalcogramma),,
304941000,– – – сурими,-,"0,05"
304949000,– – – прочее,-,"0,03"
304950000,"– – рыбы семейств Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae и Muraenolepididae, кроме минтая (Theragra chalcogramma)",,
304951000,– – – сурими,-,"0,05"
304952000,– – – прочее,,
304952000,"– – – – трески (Gadus morhua, Gadus ogac, Gadus macrocephalus) и рыбы вида Boreogadus saida",,
304952100,– – – – – трески вида Gadus macrocephalus,-,"0,06"
304952500,– – – – – трески вида Gadus morhua,-,"0,06"
304952900,– – – – – прочее,-,"0,06"
304953000,– – – – пикши (Melanogrammus aeglefinus),-,"0,06"
304954000,– – – – сайды (Pollachius virens),-,"0,06"
304955000,– – – – [с 01.01.17] мерлузы рода Merluccius/[по 31.12.16] мерлузы (Merluccius spp.) и американского нитеперого налима (Urophycis spp.),-,"0,03"
304956000,"– – – – путассу (Micromesistius poutassou, Gadus poutassou)",-,"0,03"
304959000,– – – – прочее,-,"0,03"
304960000,– – акул,,
304961000,– – – сурими,-,"0,05"
304969000,– – – прочее,-,"0,03"
304970000,– – скатов и ромбовых скатов (Rajidae),,
304971000,– – – сурими,-,"0,05"
304979000,– – – прочее,-,"0,03"
304990000,– – прочее,,
304991100,– – – сурими,-,"0,05"
304992000,– – – прочее,,
304992200,– – – – пресноводной рыбы,-,"0,03"
304992300,– – – – прочее,,
304992300,"– – – – – сельди (Clupea harengus, Clupea pallasii)",-,"0,03"
304992900,– – – – – окуня морского (Sebastes spp.),-,"0,03"
304995500,– – – – – мегрима (Lepidorhombus spp.),-,"0,03"
304996100,– – – – – леща морского обыкновенного (Brama spp.),-,"0,03"
304996500,– – – – – удильщика (Lophius spp.),-,"0,03"
304999800,– – – – – прочее,-,"0,03"
305,"[с 01.01.22] Рыба сушеная, соленая или в рассоле; рыба копченая, не подвергнутая или подвергнутая тепловой обработке до или в процессе копчения/[по 31.12.21] Рыба сушеная, соленая или в рассоле; рыба копченая, не подвергнутая или подвергнутая тепловой обработке до или в процессе копчения; рыбная мука тонкого и грубого помола и гранулы из рыбы, пригодные для употребления в пищу",,
305200000,"– печень, икра и молоки рыбы, сушеные, копченые, соленые или в рассоле",-,"0,1"
30530,"– филе рыбы, сушеное, соленое или в рассоле, но не копченое",,
305310000,"– – [с 01.01.17] тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)/[по 31.12.16] тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)",-,"0,06"
305320000,"– – рыбы семейств Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae и Muraenolepididae",,
305321000,"– – – трески (Gadus morhua, Gadus ogac, Gadus macrocephalus) и рыбы вида Boreogadus saida",,
305321100,– – – – трески вида Gadus macrocephalus,-,"0,05"
305321900,– – – – прочее,-,"0,05"
305329000,– – – прочее,-,"0,06"
305390000,– – прочее,,
305391000,"– – – лосося тихоокеанского (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou и Oncorhynchus rhodurus), лосося атлантического (Salmo salar) и лосося дунайского (Hucho hucho), соленое или в рассоле",-,"0,05"
305395000,"– – – палтуса черного, или палтуса синекорого (Reinhardtius hippoglossoides), соленое или в рассоле",-,"0,06"
305399000,– – – прочее,,
305399010,– – – – осетровых,-,"0,06"
305399080,– – – – прочее,-,"0,06"
30540,"– рыба копченая, включая филе, кроме пищевых рыбных субпродуктов",,
305410000,"– – лосось тихоокеанский (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou и Oncorhynchus rhodurus), лосось атлантический (Salmo salar) и лосось дунайский (Hucho hucho)",-,
305420000,"– – сельдь (Clupea harengus, Clupea pallasii)",-,"0,05"
305430000,"– – форель (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache и Oncorhynchus chrysogaster)",-,"0,03"
305440000,"– – [с 01.01.17] тилапия (Oreochromis spp.), сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карп (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угорь (Anguilla spp.), латес нильский (Lates niloticus) и змееголов (Channa spp.)/[по 31.12.16] тилапия (Oreochromis spp.), сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карп (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), угорь (Anguilla spp.), латес нильский (Lates niloticus) и змееголов (Channa spp.)",,
305441000,– – – угорь (Anguilla spp.),-,"0,03"
305448000,– – – прочая,-,"0,03"
305490000,– – прочая,,
305491000,"– – – палтус черный, или палтус синекорый (Reinhardtius hippoglossoides)",-,"0,03"
305492000,"– – – палтус белокорый, или обыкновенный (Hippoglossus hippoglossus)",-,"0,03"
305493000,"– – – скумбрия (Scomber scombrus, Scomber australasicus, Scomber japonicus)",-,"0,03"
305498000,– – – прочая,,
305498010,– – – – осетровые,-,"0,03"
305498080,– – – – прочая,-,"0,03"
30550,"– рыба сушеная, кроме пищевых рыбных субпродуктов, соленая или несоленая, но не копченая",,
305510000,"– – треска (Gadus morhua, Gadus ogac, Gadus macrocephalus)",,
305511000,"– – – сушеная, несоленая",-,"0,05"
305519000,"– – – сушеная, соленая",-,"0,05"
305520000,"– – тилапия (Oreochromis spp.), сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карп (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угорь (Anguilla spp.), латес нильский (Lates niloticus) и змееголов (Channa spp.)",-,"0,07"
305530000,"– – рыба семейств Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae и Muraenolepididae, кроме трески (Gadus morhua, Gadus ogac, Gadus macrocephalus)",,
305531000,– – – рыба вида Boreogadus saida,-,"0,07"
305539000,– – – прочая,-,"0,07"
305540000,"– – сельдь (Clupea harengus, Clupea pallasii), анчоусы (Engraulis spp.), сардины (Sardina pilchardus, Sardinops spp.), сардинелла (Sardinella spp.), кильки или шпроты (Sprattus sprattus), скумбрия (Scomber scombrus, Scomber australasicus, Scomber japonicus), скумбрии тропические (Rastrelliger spp.), макрели (Scomberomorus spp.), ставрида (Trachurus spp.), каранкс (Caranx spp.), кобия (Rachycentron canadum), рыба-зеркало (Pampus spp.), сайра тихоокеанская (Cololabis saira), десятиперая ставрида (Decapterus spp.), мойва (Mallotus villosus), меч-рыба (Xiphias gladius), тунец малый пятнистый (Euthynnus affinis), пеламида (Sarda spp.), рыбы семейства Istiophoridae (марлины, парусники, копьеносцы)",,
305541000,"– – – сельдь (Clupea harengus, Clupea pallasii)",-,"0,05"
305542000,– – – анчоусы (Engraulis spp.),-,"0,03"
305549000,– – – прочая,-,"0,07"
305590000,– – прочая,,
305597000,"– – – палтус белокорый, или обыкновенный (Hippoglossus hippoglossus)",-,"0,07"
305599000,– – – прочая,-,"0,07"
30560,"– рыба соленая, но не сушеная или не копченая, и рыба в рассоле, кроме пищевых рыбных субпродуктов",,
305610000,"– – сельдь (Clupea harengus, Clupea pallasii)",-,"0,05"
305620000,"– – треска (Gadus morhua, Gadus ogac, Gadus macrocephalus)",-,"0,05"
305630000,– – анчоусы (Engraulis spp.),-,"0,08"
305640000,"– – [с 01.01.22] тилапия (Oreochromis spp.), сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карп (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угорь (Anguilla spp.), латес нильский (Lates niloticus) и змееголов (Channa spp.)/[по 31.12.21] тилапия (Oreochromis spp.), сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карп (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), угорь (Anguilla spp.), латес нильский (Lates niloticus) и змееголов (Channa spp.)",-,"0,07"
305690000,– – прочая,,
305691000,– – – рыба вида Boreogadus saida,-,"0,07"
305693000,"– – – палтус белокорый, или обыкновенный (Hippoglossus hippoglossus)",-,"0,07"
305695000,"– – – лосось тихоокеанский (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou и Oncorhynchus rhodurus), лосось атлантический (Salmo salar) и лосось дунайский (Hucho hucho)",-,"0,05"
305697000,– – – прочая,-,"0,07"
30570,"– плавники, головы, хвосты, плавательные пузыри и прочие пищевые рыбные субпродукты",,
305710000,– – плавники акульи,,
305711000,– – – копченые,-,"0,03"
305719000,– – – прочие,-,"0,07"
305720000,"– – головы, хвосты, плавательные пузыри рыб",,
305720001,"– – – лосося тихоокеанского (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou и Oncorhynchus rhodurus), лосося атлантического (Salmo salar) и лосося дунайского (Hucho hucho)",-,"0,05"
305720009,– – – прочие,-,"0,03"
305790000,– – прочие,,
305790001,"– – – лосося тихоокеанского (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou и Oncorhynchus rhodurus), лосося атлантического (Salmo salar) и лосося дунайского (Hucho hucho)",-,"0,05"
305790009,– – – прочие,-,"0,03"
306,"[с 01.01.22] Ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые, сушеные, соленые или в рассоле; ракообразные копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения; ракообразные в панцире, сваренные на пару или в кипящей воде, охлажденные или неохлажденные, мороженые или немороженые, сушеные или несушеные, соленые или несоленые, в рассоле или не в рассоле/[по 31.12.21] Ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые, сушеные, соленые или в рассоле; ракообразные копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения; ракообразные в панцире, сваренные на пару или в кипящей воде, охлажденные или неохлажденные, мороженые, сушеные, соленые или в рассоле; мука тонкого и грубого помола и гранулы из ракообразных, пригодные для употребления в пищу",,
30610,– мороженые,,
306110000,"– – лангуст европейский и прочие лангусты (Palinurus spp., Panulirus spp., Jasus spp.)",,
306110500,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,07"
306111000,– – – прочие,,
306111000,– – – – хвосты лангустов,-,"0,07"
306119000,– – – – прочие,-,"0,07"
306120000,– – омары (Homarus spp.),,
306120500,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",,
306120501,– – – – в панцире,-,"0,05"
306120509,– – – – прочие,-,"0,08"
306121000,– – – прочие,,
306121000,– – – – неразделанные,-,"0,05"
306129000,– – – – прочие,-,"0,08"
306140000,– – крабы,,
306140500,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,
306141000,– – – прочие,,
306141000,"– – – – крабы видов Paralithodes camchaticus, Chionoecetes spp. и Callinectes sapidus",-,"0,05"
306143000,– – – – крабы вида Cancer pagurus,-,"0,05"
306149000,– – – – прочие,-,"0,05"
306150000,– – омар норвежский (Nephrops norvegicus),,
306151000,"– – – копченый, в панцире или без панциря, не подвергнутый или подвергнутый тепловой обработке до или в процессе копчения",-,
306159000,– – – прочий,-,"0,08"
306160000,"– – [с 01.01.17] креветки холодноводные (Pandalus spp., Crangon crangon)/[по 31.12.16] креветки и пильчатые креветки, глубоководные (Pandalus spp., Crangon crangon)",,
306161000,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,
306169000,– – – прочие,,
306169100,– – – – креветки вида Crangon crangon,-,"0,05"
306169900,– – – – прочие,-,"0,03"
306170000,– – [с 01.01.17] креветки прочие/[по 31.12.16] креветки и пильчатые креветки прочие,,
306171000,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,
306179000,– – – прочие,,
306179100,– – – – глубоководные розовые креветки (Parapenaeus longirostris),-,"0,03"
306179200,– – – – креветки рода Penaeus,-,"0,03"
306179300,"– – – – креветки семейства Pandalidae, кроме рода Pandalus spp.",-,"0,03"
306179400,"– – – – креветки рода Crangon, кроме вида Crangon crangon",-,"0,05"
306179900,– – – – прочие,-,"0,03"
306190000,"– – [с 01.01.22] прочие/[по 31.12.21] прочие, включая муку тонкого и грубого помола и гранулы из ракообразных, пригодные для употребления в пищу",,
306190500,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,
306191000,– – – прочие,,
306191000,– – – – пресноводные раки,-,"0,07"
306199000,– – – – прочие:,,
306199001,– – – – – криль антарктический (Euphausiasuperba),-,"0,03"
306199008,– – – – – прочие,-,"0,07"
30630,"– живые, свежие или охлажденные",,
306310000,"– – лангуст европейский и прочие лангусты (Palinurus spp., Panulirus spp., Jasus spp.)",-,"0,07"
306320000,– – омары (Homarus spp.),,
306321000,– – – живые,-,"0,05"
306329000,– – – прочие,,
306329100,– – – – неразделанные,-,"0,05"
306329900,– – – – прочие,-,"0,06"
306330000,– – крабы,,
306331000,– – – крабы вида Cancer pagurus,-,"0,08"
306339000,– – – прочие,-,"0,08"
306340000,– – омар норвежский (Nephrops norvegicus),-,"0,08"
306350000,"– – креветки холодноводные (Pandalus spp., Crangon crangon)",,
306351000,– – – креветки вида Crangon crangon,-,"0,06"
306359000,– – – креветки видов Pandalus spp.,-,"0,06"
306360000,– – креветки прочие,,
306361000,"– – – креветки семейства Pandalidae, за исключением креветок рода Pandalus",-,"0,06"
306362000,"– – – креветки рода Crangon, за исключением креветок вида Crangon crangon",-,"0,06"
306369000,– – – прочие,-,"0,06"
306390000,"– – [с 01.01.22] прочие/[по 31.12.21] прочие, включая муку тонкого и грубого помола и гранулы из ракообразных, пригодные для употребления в пищу",,
306391000,– – – пресноводные раки,-,"0,07"
306398000,– – – прочие,-,"0,08"
30690,– прочие,,
306910000,"– – лангуст европейский и прочие лангусты (Palinurus spp., Panulirus spp., Jasus spp.)",,
306911000,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,
306919000,– – – прочие,-,"0,07"
306920000,– – омары (Homarus spp.),,
306921000,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,
306929000,– – – прочие,,
306929100,– – – – неразделанные,-,"0,05"
306929900,– – – – прочие,-,"0,06"
306930000,– – крабы,,
306931000,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,
306939000,– – – прочие,,
306939100,– – – – крабы вида Cancer pagurus,-,"0,08"
306939900,– – – – прочие,-,"0,08"
306940000,– – омар норвежский (Nephrops norvegicus),,
306941000,"– – – копченый, в панцире или без панциря, не подвергнутый или подвергнутый тепловой обработке до или в процессе копчения",-,
306949000,– – – прочий,-,"0,08"
306950000,– – креветки,,
306951000,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,
306959000,– – – прочие,,
306959100,– – – – креветки рода Crangon,-,"0,06"
306959900,– – – – прочие,-,"0,06"
306990000,"– – [с 01.01.22] прочие/[по 31.12.21] прочие, включая муку тонкого и грубого помола и гранулы из ракообразных, пригодные для употребления в пищу",,
306991000,"– – – копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,
306999000,– – – прочие,,
306999100,– – – – пресноводные раки,-,"0,07"
306999800,– – – – прочие,-,"0,08"
307,"[с 01.01.22] Моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые, сушеные, соленые или в рассоле; моллюски копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения/[по 31.12.21] Моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые, сушеные, соленые или в рассоле; моллюски копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения; мука тонкого и грубого помола и гранулы из моллюсков, пригодные для употребления в пищу",,
30710,– устрицы,,
307110000,"– – живые, свежие или охлажденные",,
307111000,"– – – устрицы плоские (рода Ostrea), живые и массой (включая раковину) не более 40 г каждая",-,"0,07"
307119000,– – – прочие,-,"0,07"
307120000,– – мороженые,,
307121000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307129000,– – – прочие,-,"0,07"
307190000,– – прочие,,
307199100,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307199900,– – – прочие,-,"0,07"
30720,"– [с 01.01.22] гребешки и прочие моллюски семейства Pectinidae/[по 31.12.21] гребешки, включая королевские гребешки, родов Pecten, Chlamys или Placopecten",,
307210001,"– – живые, свежие или охлажденные:",,
307210001,"– – – родов Pecten, Chlamys или Placopecten",-,"0,06"
307210009,– – – прочие,-,"0,05"
307220000,– – мороженые,,
307222000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307229000,– – – прочие,,
307229001,"– – – – родов Pecten, Chlamys или Placopecten",-,"0,08"
307229009,– – – – прочие,-,"0,07"
307290000,– – прочие:,,
307293000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307299000,– – – прочие:,,
307299001,"– – – – родов Pecten, Chlamys или Placopecten",-,"0,08"
307299009,– – – – прочие,-,"0,07"
30730,"– мидии (Mytilus spp., Perna spp.)",,
307310000,"– – живые, свежие или охлажденные",,
307311000,– – – Mytilus spp.,-,"0,05"
307319000,– – – Perna spp.,-,"0,06"
307320000,– – мороженые,,
307321000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307329000,– – – прочие,,
307329100,– – – – Mytilus spp.,-,"0,05"
307329900,– – – – Perna spp.,-,"0,05"
307390000,– – прочие,,
307392000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307399000,– – – прочие,,
307399100,– – – – Mytilus spp.,-,"0,05"
307399900,– – – – Perna spp.,-,"0,05"
30740,"– [с 01.01.17] каракатицы и кальмары/[по 31.12.16] каракатицы (Sepia officinalis, Rossia macrosoma, Sepiola spp.) и кальмары (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.)",,
307420000,"– – живые, свежие или охлажденные",,
307421000,– – – каракатицы,,
307421100,"– – – – видов Sepia officinalis, Rossia macrosoma, Sepiola spp.",-,"0,07"
307421900,– – – – прочие,-,"0,05"
307429000,– – – кальмары,,
307429100,– – – – видов Loligo spp.,-,"0,07"
307429200,– – – – вида Todarodes sagittatus,-,"0,07"
307429300,"– – – – видов Ommastrephes spp., Nototodarus spp., Sepioteuthis spp.",-,"0,07"
307429900,– – – – прочие,-,"0,05"
307430000,– – мороженые,,
307431000,"– – – копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307431100,– – – прочие,,
307431100,– – – – каракатицы,,
307431100,– – – – – рода Sepiola,,
307431100,– – – – – – вида Sepiola rondeleti,-,"0,05"
307431300,– – – – – – прочие,-,"0,05"
307431500,"– – – – – видов Sepia officinalis, Rossia macrosoma",-,"0,05"
307431900,– – – – – прочие,-,"0,07"
307433000,– – – – кальмары,,
307433100,– – – – – рода Loligo,,
307433100,– – – – – – вида Loligo vulgaris,-,"0,08"
307433300,– – – – – – вида Loligo pealei,-,"0,08"
307433500,– – – – – – вида Loligo patagonica,-,"0,08"
307433800,– – – – – – прочие,-,"0,08"
307435000,– – – – – вида Todarodes sagittatus,-,"0,08"
307436000,"– – – – – видов Ommastrephes spp., Nototodarus spp., Sepioteuthis spp.",-,"0,08"
307437000,– – – – – видов Illex spp.,-,"0,07"
307439000,– – – – – прочие,-,"0,07"
307490000,– – прочие,,
307490500,"– – – копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307497000,– – – прочие,,
307497100,– – – – каракатицы,,
307497100,"– – – – – видов Sepia officinalis, Rossia macrosoma, Sepiola spp.",-,"0,05"
307498000,– – – – – прочие,-,"0,07"
307499000,"– – – – [с 01.01.17] кальмары/[по 31.12.16] кальмары (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.)",,
307499100,– – – – – видов Loligo spp.,-,"0,08"
307499200,– – – – – вида Todarodes sagittatus,-,"0,08"
307499300,"– – – – – видов Ommastrephes spp., Nototodarus spp., Sepioteuthis spp.",-,"0,08"
307499800,– – – – – прочие,-,"0,07"
30750,– осьминоги (Octopus spp.),,
307510000,"– – живые, свежие или охлажденные",-,"0,07"
307520000,– – мороженые,,
307521000,"– – – копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307529000,– – – прочие,-,"0,08"
307590000,– – прочие,,
307592000,"– – – копченые, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307598000,– – – прочие,-,"0,08"
30760,"– [с 27.07.19] улитки, кроме морских/[по 26.07.19] улитки, кроме липариса",,
307601000,"– – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307609000,– – прочие,-,"0,08"
30770,"– клемы, сердцевидки и арки (семейств Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae и Veneridae)",,
307710000,"– – живые, свежие или охлажденные",-,"0,05"
307720000,– – мороженые,,
307721000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307729000,– – – прочие,,
307729100,– – – – полосатый венус и другие виды семейства Veneridae,-,"0,07"
307729900,– – – – прочие,-,"0,07"
307790000,– – прочие,,
307791100,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307798000,– – – прочие,-,"0,05"
30780,– [с 01.01.17] морские ушки (Haliotis spp.) и стромбусы (Strombus spp.)/[по 31.12.16] морские ушки (Haliotis spp.),,
307810000,"– – морские ушки (Haliotis spp.) живые, свежие или охлажденные",-,"0,05"
307820000,"– – стромбусы (Strombus spp.) живые, свежие или охлажденные",-,"0,05"
307830000,– – морские ушки (Haliotis spp.) мороженые,,
307831000,"– – – копченые, в раковине или без раковины, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения",-,"0,08"
307839000,– – – прочие,-,"0,07"
307840000,– – стромбусы (Strombus spp.) мороженые,,
